UserId,TravelMode,Attraction,Type,Rating_Level,Rating
43435,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
25621,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
24948,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
14459,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
57716,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
77961,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
32533,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
8481,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
53690,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
51055,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
62791,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
23746,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
46065,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
58995,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
75223,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
11099,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
39393,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
4453,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
53132,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,3
34227,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
18600,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
78886,Gia đình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
18325,Bạn bè,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,1
30475,Đi một mình,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Xuất sắc,5
51292,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Tốt,4
74902,Cặp đôi,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,Trung bình,2
